Reaction,ReactionName,Flux
PPS,"Phosphoenolpyruvate synthase",0
ECOAH4,"3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA)",0
LPADSS,"Lipid A disaccaride synthase",0
GLUTRS,"Glutamyl-tRNA synthetase",0
TDSK,"Tetraacyldisaccharide 4'kinase",0
PGI,"Glucose-6-phosphate isomerase",-0.29461077844303
TMPPP,"Thiamine-phosphate diphosphorylase",0
EX_btn_e,"Biotin exchange",0
PGK,"Phosphoglycerate kinase",-3.72502994011984
EX_ptrc_e,"Putrescine exchange",0
EDA,"2-dehydro-3-deoxy-phosphogluconate aldolase",0
EX_spmd_e,"Spermidine exchange",0
EX_thym_e,"Thymine exchange",0
EX_xtsn_e,"Xanthosine exchange",0
NTPP1,"Nucleoside triphosphate pyrophosphorylase (dgtp)",0
URIK1,"Uridine kinase  ATPUridine ",0.29461077844314
URIK2,"Uridine kinase (GTP:Uridine)",0
NTPP2,"Nucleoside triphosphate pyrophosphorylase (gtp)",0
PGL,"6-phosphogluconolactonase",0
NTPTP1,"Nucleoside triphosphate tripolyhydrolase",0
NTPTP2,"Nucleoside triphosphate tripolyhydrolase",0
CYTDK1,"ATP:cytidine 5'-phosphotransferase",0
RPE,"Ribulose 5-phosphate 3-epimerase",-0.1964071856288
DHQTi,"3-dehydroquinate dehydratase, irreversible",0
IPMD,"3-isopropylmalate dehydrogenase",0
AIRC3,"Phosphoribosylaminoimidazole carboxylase (mutase rxn)",0
TALA,"Transaldolase",-0.0982035928143432
PUNP1,"Purine-nucleoside phosphorylase (Adenosine)",0
PUNP2,"Purine-nucleoside phosphorylase (Deoxyadenosine)",0
PUNP3,"Purine-nucleoside phosphorylase (Guanosine)",0
ADSL2r,"Adenylosuccinate lyase",0
TKT1,"Transketolase",-0.0982035928143432
EX_fe2_e,"Fe2+ exchange",0
PUNP5,"Purine-nucleoside phosphorylase (Inosine)",0
PUNP6,"Purine-nucleoside phosphorylase (Deoxyinosine)",0
PUNP7,"Purine-nucleoside phosphorylase (Xanthosine)",0
G6PDA,"Glucosamine-6-phosphate deaminase",0
RNDR1,"Ribonucleoside-diphosphate reductase (ADP)",0
ALCD2x,"Alcohol dehydrogenase (ethanol)",0
RNDR3,"Ribonucleoside-diphosphate reductase (CDP)",0
RNDR4,"Ribonucleoside-diphosphate reductase (UDP)",0
ALDD2y,"Aldehyde dehydrogenase (acetaldehyde, NADP)",0
TMDS,"Thymidylate synthase",0
RMI,"L-rhamnose isomerase",0
TMDK1,"Thymidine kinase (ATP:thymidine)",0
LYSAM,"Lysine 2,3-aminomutase",0
PPCDC,"Phosphopantothenoylcysteine decarboxylase",0
FTHFD,"Formyltetrahydrofolate deformylase",0
EX_glc__D_e,"D-Glucose exchange",-10
DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",0
IPPMIa,"3-isopropylmalate dehydratase",0
EX_alltn_e,"Allantoin exchange",0
G3PD7,"Glycerol-3-phosphate dehydrogenase (demethylmenaquinone-8)",0
EDD,"6-phosphogluconate dehydratase",0
EX_ura_e,"Uracil exchange",0
NADH9,"NADH dehydrogenase (demethylmenaquinone-8 & 0 protons)",0
EX_val__L_e,"L-Valine exchange",0
NADH10,"NADH dehydrogenase (menaquinone-8 & 0 protons)",0
ADK4,"Adentylate kinase (ITP)",0
INSK,"Insosine kinase",0
MDH,"Malate dehydrogenase",0
ABTA,"4-aminobutyrate transaminase",0
EX_xan_e,"Xanthine exchange",0
FUM,"Fumarase",0
FMNAT,"FMN adenylyltransferase",0
PYDXNK,"Pyridoxine kinase",0
PYAM5PO,"Pyridoxamine 5'-phosphate oxidase",0
SSALx,"Succinate-semialdehyde dehydrogenase (NAD)",0
ASPT,"L-aspartase",0
OHPBAT,"O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase",0
SERD_L,"L-serine deaminase",0
EX_dgsn_e,"Deoxyguanosine exchange",0
NADDP,"NAD diphosphatase",0
EX_arab__L_e,"L-Arabinose exchange",0
EX_fru_e,"D-Fructose exchange",0
THRD,"L-threonine dehydrogenase",0
HEX4,"Hexokinase (D-mannose:ATP)",0
EX_gal_e,"D-Galactose exchange",0
NMNAT,"Nicotinamide-nucleotide adenylyltransferase",0
EX_xyl__D_e,"D-Xylose exchange",0
KARA1,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",0
HMPK1,"Hydroxymethylpyrimidine kinase (ATP)",0
KARA2,"Ketol-acid reductoisomerase (2-Acetolactate)",0
EX_duri_e,"Deoxyuridine exchange",0
EX_for_e,"Formate exchange",0
EX_gly_e,"Glycine exchange",0
EX_h2_e,"H2 exchange",0
EX_lys__L_e,"L-Lysine exchange",0
ACCOAC,"Acetyl-CoA carboxylase",0
NADK,"NAD kinase",0
GLXCL,"Glyoxalate carboligase",0
SUCBZS,"O-succinylbenzoate-CoA synthase",0
DHBD,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",0
ICHORT,"Isochorismatase",0
EX_ser__L_e,"L-Serine exchange",0
EX_thm_e,"Thiamin exchange",0
EX_trp__L_e,"L-Tryptophan exchange",0
