Reaction,ReactionName,Flux
CYSS,"Cysteine synthase",0
NADS1,"NAD synthase (nh3)",0
BPNT,"3',5'-bisphosphate nucleotidase",0
EX_2ddglcn_e,"2-Dehydro-3-deoxy-D-gluconate exchange",0
PAPSR,"Phosphoadenylyl-sulfate reductase (thioredoxin)",0
ASPK,"Aspartate kinase",0
ASAD,"Aspartate-semialdehyde dehydrogenase",0
DAPDC,"Diaminopimelate decarboxylase",0
EX_mmet_e,"S-Methyl-L-methionine exchange",0
NTRIR2x,"Nitrite Reductase (NADH)",0
OCBT,"Ornithine carbamoyltransferase",0
GARFT,"Phosphoribosylglycinamide formyltransferase",0
GPDDA1,"Glycerophosphodiester phosphodiesterase (Glycerophosphocholine)",0
GPDDA2,"Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine)",0
PHETA1,"Phenylalanine transaminase",0
PPND,"Prephenate dehydrogenase",0
METAT,"Methionine adenosyltransferase",0
ASCBPL,"L-ascorbate 6-phosphate lactonase",0
ACBIPGT,"Adenosyl cobinamide phosphate guanyltransferase",0
TRPS1,"Tryptophan synthase (indoleglycerol phosphate)",0
PRAMPC,"Phosphoribosyl-AMP cyclohydrolase",0
ADOCBLS,"Adenosylcobalamin 5'-phosphate synthase",0
EX_galct__D_e,"D-Galactarate exchange",0
ADOCBIK,"Adenosyl cobinamide kinase",0
TMPK,"Thiamine-phosphate kinase",0
MCITL2,"Methylisocitrate lyase",0
DXYLK,"1-Deoxy-D-xylulose kinase",0
MDH3,"Malate dehydrogenase (menaquinone 8 as acceptor)",0
SOTA,"Succinylornithine transaminase",0
SGSAD,"Succinylglutamic semialdehyde dehydrogenase",0
EX_idon__L_e,"L-Idonate exchange",0
GLYCK2,"Glycerate kinase",0
PTA2,"Phosphate acetyltransferase",0
MDH2,"Malate dehydrogenase (ubiquinone 8 as acceptor)",0
EX_indole_e,"Indole exchange",0
ACOTA,"Acetylornithine transaminase",0
GPDDA5,"Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol)",0
PDX5PS,"Pyridoxine 5'-phosphate synthase",0
PPBNGS,"Porphobilinogen synthase",0
SULR,"Sulfite reductase (NADPH2)",0
URDGLYCD,"Ureidoglycolate dehydrogenase",0
CBMKr,"Carbamate kinase",0
PPNCL2,"Phosphopantothenate-cysteine ligase",0
PRAGSr,"Phosphoribosylglycinamide synthase",0
PRFGS,"Phosphoribosylformylglycinamidine synthase",0
AMANAPEr,"N-acetylmannosamine 6-phosphate epimerase",0
EX_3hcinnm_e,"3-hydroxycinnamic acid exchange",0
ACM6PH,"N-acetylmuramate 6-phosphate hydrolase",0
NNATr,"Nicotinate-nucleotide adenylyltransferase",0
CYTDH,"Cytidine hydrolase",0
EX_acac_e,"Acetoacetate exchange",0
ETHAAL,"Ethanolamine ammonia-lyase",0
MAN1PT2,"Mannose-1-phosphate guanylyltransferase (GDP)",0
PSERT,"Phosphoserine transaminase",0
AP4AH,"Ap4A hydrolase",0
EX_acmana_e,"N-Acetyl-D-mannosamine exchange",0
AP5AH,"Ap5A hydrolase",0
ADNCYC,"Adenylate cyclase",0
AIRC2,"Phosphoribosylaminoimidazole carboxylase",0
GAPD,"Glyceraldehyde-3-phosphate dehydrogenase",3.72502994011984
MI1PP,"Myo-inositol 1-phosphatase",0
EX_galur_e,"D-Galacturonate exchange",0
MCITS,"2-methylcitrate synthase",0
PPAKr,"Propionate kinase",0
HEX1,"Hexokinase (D-glucose:ATP)",0
GND,"Phosphogluconate dehydrogenase",0
TAUDO,"Taurine dioxygenase",0
DM_amob_c,"Sink needed to allow S-Adenosyl-4-methylthio-2-oxobutanoate to leave system",0
NTP3,"Nucleoside-triphosphatase (GTP)",0
PPM2,"Phosphopentomutase 2 (deoxyribose)",0.29461077844303
MOAT2,"3-deoxy-D-manno-octulosonic acid transferase",0
EX_adn_e,"Adenosine exchange",0
EX_ins_e,"Inosine exchange",0
G6PDH2r,"Glucose 6-phosphate dehydrogenase",0
ME2,"Malic enzyme (NADP)",0
ARGSL,"Argininosuccinate lyase",0
CBPS,"Carbamoyl-phosphate synthase (glutamine-hydrolysing)",0
GLU5K,"Glutamate 5-kinase",0
IPPS,"2-isopropylmalate synthase",0
EX_mg2_e,"Mg exchange",0
ACOATA,"Acetyl-CoA ACP transacylase",0
NADH5,"NADH dehydrogenase (ubiquinone-8 )",0
MOHMT,"3-methyl-2-oxobutanoate hydroxymethyltransferase",0
EX_glyc3p_e,"Glycerol 3-phosphate exchange",0
MLTG2,"Maltodextrin glucosidase (maltotetraose)",0
EX_but_e,"Butyrate (n-C4:0) exchange",0
MLTG1,"Maltodextrin glucosidase (maltotriose)",0
AMALT3,"Amylomaltase (maltopentaose)",0
MLTP3,"Maltodextrin phosphorylase (maltoheptaose)",0
EX_lcts_e,"Lactose exchange",0
EX_ocdca_e,"Octadecanoate (n-C18:0) exchange",0
EX_cbl1_e,"Cob(I)alamin exchange",0
SPODM,"Superoxide dismutase",0
AHCYSNS,"S-adenosylhomocysteine nucleosidase",0
ACNML,"N-Acetylneuraminate lyase",0
TMK,"Thiamine kinase",0
NTPP4,"Nucleoside triphosphate pyrophosphorylase (ctp)",0
GMPS,"GMP synthase",0
CAT,"Catalase",0
FTHFLi,"Formate-tetrahydrofolate ligase",0
EX_nac_e,"Nicotinate exchange",0
UDPGD,"UDPglucose 6-dehydrogenase",4.01964071856283
SERASr,"(L-seryl)adenylate synthase",0
GLCRD,"Glucarate dehydratase",0
26DAHtex,"Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)",0
HCINNMtex,"3-hydroxycinnamic acid transport via diffusion (extracellular to periplasm)",0
HPPPNtex,"3-(3-hydroxyphenyl)propionate transport via diffusion (extracellular to periplasm)",0
ACtex,"Acetate transport via diffusion (extracellular to periplasm)",0
ACALDtex,"Acetaldehyde transport via diffusion (extracellular to periplasm)",0
CHRPL,"Chorismate pyruvate lyase",0
TDPAGTA,"DTDP-4-amino-4,6-dideoxy-D-glucose transaminase",0
UACMAMO,"UDP-N-acetyl-D-mannosamine oxidoreductase",0
FBA3,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",0
PMPK,"Phosphomethylpyrimidine kinase",0
LCADi,"Lactaldehyde dehydrogenase",0
ACMANAtex,"N-acetyl-D-mannosamine transport via diffusion (extracellular to periplasm)",0
ACMUMtex,"N-acetylmuramate transport via diffusion (extracellular to periplasm)",0
ACACT7r,"Acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r)",0
PSP_L,"Phosphoserine phosphatase (L-serine)",0
ADK3,"Adentylate kinase (GTP)",-1000
GLUDC,"Glutamate Decarboxylase",0
ACACT2r,"Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r)",0
BSORy,"Biotin sulfoxide reductase",0
DMSOR2,"Dimethyl sulfoxide reductase (Demethylmenaquinol 8)",0
ADSK,"Adenylyl-sulfate kinase",0
ACACT3r,"Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r)",0
ACACT4r,"Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r)",0
SUCCt2_2pp,"Succinate transport via proton symport (2 H) (periplasm)",0
SUCFUMtpp,"Succinate:fumarate antiporter (periplasm)",-1000
HSDy,"Homoserine dehydrogenase (NADPH)",0
CYSTL,"Cystathionine b-lyase",0
ACMAMUT,"UDP-N-acetyl-D-mannosaminuronic acid transferase",0
SHSL1,"O-succinylhomoserine lyase (L-cysteine)",0
SSALy,"Succinate-semialdehyde dehydrogenase (NADP)",0
SULabcpp,"Sulfate transport via ABC system (periplasm)",0
TSULabcpp,"Thiosulfate transport via ABC system (periplasm)",0
TARTRt7pp,"Tartrate/succinate antiporter (periplasm)",1000
EX_dad_2_e,"Deoxyadenosine exchange",0
EX_ser__D_e,"D-Serine exchange",0
DDGALK,"2-dehydro-3-deoxygalactonokinase",0
EX_gam6p_e,"D-Glucosamine 6-phosphate exchange",0
EX_15dap_e,"1,5-Diaminopentane exchange",0
AB6PGH,"Arbutin 6-phosphate glucohydrolase",0
EX_ocdcea_e,"Octadecenoate (n-C18:1) exchange",0
EX_cynt_e,"Cyanate exchange",0
EX_galctn__D_e,"D-Galactonate exchange",0
AMALT1,"Amylomaltase (maltotriose)",0
EX_glyb_e,"Glycine betaine exchange",0
AHGDx,"(S)-alpha-hydroxyglutarate dehydrogenase",0
MLTP2,"Maltodextrin phosphorylase (maltohexaose)",0
TAURabcpp,"Taurine transport via ABC system (periplasm)",0
BSORx,"Biotin sulfoxide reductase",0
NMNt7pp,"NMN transport via NMN glycohydrolase (periplasm)",0
EX_ca2_e,"Calcium exchange",0
EX_so3_e,"Sulfite exchange",0
GLUtex,"L-glutamate transport via diffusion (extracellular to periplasm)",0
Kt2pp,"Potassium transport in via proton symport (periplasm)",0
GLYtex,"Glycine transport via diffusion (extracellular to periplasm)",0
GP4GH,"Gp4G hydrolase",0
GLYALDtex,"Glyceraldehyde transport via diffusion (extracellular to periplasm)",0
AKGt2rpp,"2-oxoglutarate reversible transport via symport (periplasm)",0
ACGAMT,"UDP-N-acetylglucosamine:undecaprenylphosphate N-acetylglucosamine -1-phosphate transferase",0
EX_ascb__L_e,"L-Ascorbate exchange",0
GLYBtex,"Glycine betaine transport via diffusion (extracellular to periplasm)",0
GLYCtex,"Glycerol transport via diffusion (extracellular to periplasm)",0
GLYC3Ptex,"Glycerol-3-phosphate transport via diffusion (extracellular to periplasm)",0
GLYCLTtex,"Glycolate transport via diffusion (extracellular to periplasm)",0
GTPtex,"GTP transport via diffusion (extracellular to periplasm)",0
GUAtex,"Guanine transport via diffusion (extracellular to periplasm)",0
Htex,"Proton transport via diffusion (extracellular to periplasm)",-8.03928143712596
EX_ala_B_e,"Beta-Alanine exchange",0
EX_agm_e,"Agmatine exchange",0
EX_minohp_e,"Myo-Inositol hexakisphosphate exchange",0
EX_ppt_e,"Phosphonate exchange",0
EX_hxa_e,"Hexanoate (n-C6:0) exchange",0
H2tex,"Hydrogen transport via diffusion (extracellular to periplasm)",0
H2Otex,"H2O transport via diffusion (extracellular to periplasm)",-23.823233532934
AADDGT,"DTDP-N-4-acetamido-4,6-dideoxy-D-galactose transferase",0
FACOAL160t2pp,"Fatty-acid-CoA ligase (hexadecanoate transport via vectoral Co-A coupling)",0
FACOAL180t2pp,"Fatty-acid-CoA ligase (octadecanoate transport via vectoral Co-A coupling)",0
SPODMpp,"Superoxide dismutase",0
EX_lyx__L_e,"L-Lyxose exchange",0
EX_acmum_e,"N-Acetylmuramate exchange",0
EX_dca_e,"Decanoate (n-C10:0) exchange",0
EX_all__D_e,"D-Allose exchange",0
NO3R1bpp,"Nitrate reductase (Ubiquinol-8)",0
O2tpp,"O2 transport via diffusion (periplasm)",7.74467065868259
EX_octa_e,"Octanoate (n-C8:0) exchange",0
PHYTSpp,"Phytase (periplasm)",0
EX_gbbtn_e,"Gamma-butyrobetaine exchange",0
PPTHpp,"Phosphonate hydrogenase (periplasm)",0
PYRt2rpp,"Pyruvate reversible transport via proton symport (periplasm)",0
NO3R2pp,"Nitrate reductase (Menaquinol-8) (periplasm)",0
EX_xylu__L_e,"L-Xylulose exchange",0
EX_gdp_e,"GDP exchange",0
EX_gtp_e,"GTP exchange",0
NTP3pp,"Nucleoside-triphosphatase (GTP) (periplasm)",0
NO3R2bpp,"Nitrate reductase (Menaquinol-8) (periplasm)",0
THMabcpp,"Thiamine transport via ABC system (periplasm)",0
THMDt2pp,"Thymidine transport in via proton symport (periplasm)",0
THRabcpp,"L-threonine transport via ABC system (periplasm)",0
TREptspp,"Trehalose transport via PEP:Pyr PTS (periplasm)",0
THD2pp,"NAD(P) transhydrogenase (periplasm)",0
TMAOR1pp,"Trimethylamine N-oxide reductase (menaquinol 8) (periplasm)",0
TMAOR2pp,"Trimethylamine N-oxide reductase (demethylmenaquinol 8) (periplasm)",0
XANtpp,"Xanthine reversible transport (periplasm)",0
DAPtex,"1,5-Diaminopentane transport via diffusion (extracellular to periplasm)",0
TRPt2rpp,"L-tryptophan reversible transport via proton symport (periplasm)",0
TYRt2rpp,"L-tyrosine reversible transport via proton symport (periplasm)",0
EX_tma_e,"Trimethylamine exchange",0
URIt2pp,"Uridine transport in via proton symport (periplasm)",0
VALabcpp,"L-valine transport via ABC system (periplasm)",0
12PPDStex,"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)",0
DDGLCNtex,"2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm)",0
XTSNt2rpp,"Xanthosine transport via proton symport (periplasm)",0
XYLabcpp,"D-xylose transport via ABC system (periplasm)",0
GMHEPK,"D-glycero-D-manno-heptose 7-phosphate kinase",0
THRt4pp,"L-threonine  via sodium symport (periplasm)",0
GALURtex,"D-galacturonate transport via diffusion (extracellular to periplasm)",0
GTPCI,"GTP cyclohydrolase I",0
FDMO,"FMNH2-dependent monooxygenase",0
FEOXAMabcpp,"Ferroxamine transport via ABC system (periplasm)",0
EX_fruur_e,"D-Fructuronate exchange",0
GALtex,"D-galactose transport via diffusion (extracellular to periplasm)",0
CBL1abcpp,"Cob(1)alamin transport via ABC system (periplasm)",0
EX_malttr_e,"Maltotriose exchange",0
ACACt2pp,"Acetoacetate transport via proton symport  (periplasm)",0
ACGAptspp,"N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm)",0
ACMANAptspp,"N-acetyl-D-mannosamine transport via PTS  (periplasm)",0
ACNAMt2pp,"N-acetylneuraminate proton symport (periplasm)",0
GALCTtex,"D-galactarte transport via diffusion (extracellular to periplasm)",0
GALCTNtex,"D-galactonate transport via diffusion (extracellular to periplasm)",0
GALTtex,"Galactitol transport via diffusion (extracellular to periplasm)",0
EX_cbi_e,"Cobinamide exchange",0
CHOLD,"Choline dehydrogenase",0
TRE6PS,"Alpha,alpha-trehalose-phosphate synthase (UDP-forming)",0
DRPA,"Deoxyribose-phosphate aldolase",0.294610778443026
TKT2,"Transketolase",-0.0982035928143432
EX_arbtn_fe3_e,"Aerobactin exchange",0
UDCPDP,"Undecaprenyl-diphosphatase",0
EX_cpgn_e,"Coprogen exchange",0
EX_ch4_e,"EX ch4 LPAREN e RPAREN ",0
FEENTERabcpp,"Fe-enterobactin transport via ABC system (periplasm)",0
EX_adocbl_e,"Adenosylcobalamin exchange",0
FECRMabcpp,"Ferrichrome transport via ABC system (periplasm)",0
TREH,"Alpha,alpha-trehalase",0
GAMtex,"D-glucosamine transport via diffusion (extracellular to periplasm)",0
GBBTNtex,"Gamma-butyrobetaine transport via diffusion (extracellular to periplasm)",0
ATPS4rpp,"ATP synthase (four protons for one ATP) (periplasm)",23.5277844311375
INDOLEtex,"Indole transport via diffusion (extracellular to periplasm)",0
ARBt2rpp,"L-arabinose transport via proton symport (periplasm)",0
CYTK1,"Cytidylate kinase (CMP)",0
DAPabcpp,"M-diaminopimelic acid ABC transport (periplasm)",0
L_LACtex,"L-lactate transport via diffusion (extracellular to periplasm)",0
ACt4pp,"Na+/Acetate symport (periplasm)",0
ADEt2rpp,"Adenine transport via proton symport (reversible) (periplasm)",0
CO2tpp,"CO2 transporter via diffusion (periplasm)",-3.72502994011984
DHAtpp,"Dihydroxyacetone transport via facilitated diffusion (periplasm)",0
DMSOR1pp,"Dimethyl sulfoxide reductase (Menaquinol 8) (periplasm)",0
ARGabcpp,"L-arginine transport via ABC system (periplasm)",0
ADNt2pp,"Adenosine transport in via proton symport (periplasm)",0
ALAabcpp,"L-alanine transport via ABC system (periplasm)",0
ALLabcpp,"D-allose transport via ABC system (periplasm)",0
ALLTNt2rpp,"Allantoin transport in via proton symport (periplasm)",0
ARBabcpp,"L-arabinose transport via ABC system (periplasm)",0
ARGAGMt7pp,"Arginine/agmatine antiport (periplasm)",1000
ASCBptspp,"L-ascorbate transport via PEP:Pyr PTS (periplasm)",0
CYTK2,"Cytidylate kinase (dCMP)",0
ASNt2rpp,"L-asparagine reversible transport via proton symport (periplasm)",0
ASPabcpp,"L-aspartate transport via ABC system (periplasm)",0
ASPt2pp,"L-aspartate transport in via proton symport (periplasm)",0
ECOAH8,"3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA)",0
GLCDpp,"Glucose dehydrogenase (ubiquinone-8 as acceptor) (periplasm)",0
GUAtpp,"Guanine transport via diffusion (periplasm)",0
ASPt2_2pp,"Aspartate transport via proton symport (2 H) (periplasm)",0
HYD2pp,"Hydrogenase (menaquinone8: 2 protons) (periplasm)",0
GK1,"Guanylate kinase (GMP:ATP)",0
HYXNtpp,"Hypoxanthine transport (periplasm)",0
NACtpp,"Nicotinic acid uptake (periplasm)",0
ASPt2_3pp,"L-asparate transport via proton symport (3 H) (periplasm)",0
HIStex,"L-histidine transport via diffusion (extracellular to periplasm)",0
FE3DCITabcpp,"Iron transport from ferric-dicitrate via ABC system (periplasm)",0
HXAtex,"Hexanoate transport via diffusion (extracellular to periplasm)",0
HACD1,"3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)",0
HYXNtex,"Hypoxanthine transport via diffusion (extracellular to periplasm)",0
IDONtex,"L-idonate transport via diffusion (extracellular to periplasm)",0
ILEtex,"L-isoleucine transport via diffusion (extracellular to periplasm)",0
INSTtex,"Inositol transport via diffusion (extracellular to periplasm)",0
INStex,"Inosine transport via diffusion (extracellular to periplasm)",-1000
Ktex,"Potassium transport via diffusion (extracellular to periplasm)",0
CPGNtonex,"Coprogen transport via ton system (extracellular)",0
GLCRtex,"D-glucarate transport via diffusion (extracellular to periplasm)",0
GLCNtex,"D-gluconate transport via diffusion (extracellular to periplasm)",0
GLCURtex,"D-glucuronat transport via diffusion (extracellular to periplasm)",0
GLNtex,"L-glutamine transport via diffusion (extracellular to periplasm)",0
O2tex,"Oxygen transport via diffusion (extracellular to periplasm)",7.74467065868259
EX_ppa_e,"Propionate exchange",0
HACD2,"3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA)",0
OCTAtex,"Octanoate transport via diffusion (extracellular to periplasm)",0
D_LACtex,"D-lactate transport via diffusion (extracellular to periplasm)",0
NTD8pp,"5'-nucleotidase (dGMP)",0
ORNtex,"Ornithine transport via diffusion (extracellular to periplasm)",0
FRULYStex,"Fructoselysine transporter via diffusion (extracellular)",0
MALTtexi,"MaltoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible",0
ECOAH5,"3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA)",0
DHFS,"Dihydrofolate synthase",0
CITt7pp,"Citrate transport via succinate antiport (periplasm)",0
CRNt7pp,"Carnitine/butyrobetaine antiporter (periplasm)",0
EX_ni2_e,"Ni2+ exchange",0
EX_no_e,"Nitric oxide exchange",0
CHLabcpp,"Choline transport via ABC system (periplasm)",0
DGSNt2pp,"Deoxyguanosine transport in via proton symport (periplasm)",0
FE3DCITtonex,"Ferric-dicitrate transport via ton system (extracellular)",0
DINSt2pp,"Deoxyinosine transport in via proton symport (periplasm)",0
DURIt2pp,"Deoxyuridine transport in via proton symport (periplasm)",0
FE2abcpp,"Iron (II) transport via ABC system (periplasm)",0
FRUptspp,"D-fructose transport via PEP:Pyr PTS (periplasm)",0
FUCtpp,"L-fucose transport via proton symport (periplasm)",0
EX_fad_e,"Exchange of Flavin adenine dinucleotide oxidized",0
GALCTt2rpp,"D-galactarte transport via proton symport, reversible (periplasm)",0
GALt2pp,"D-galactose transport in via proton symport (periplasm)",0
ASPtex,"L-aspartate transport via diffusion (extracellular to periplasm)",0
ABUTt2pp,"4-aminobutyrate transport in via proton symport (periplasm)",0
FUMt2_2pp,"Fumarate transport via proton symport (2 H) (periplasm)",0
FUMt2_3pp,"Fumarate transport via proton symport (3 H) (periplasm)",0
PHEtex,"L-phenylalanine transport via diffusion (extracellular to periplasm)",0
FEENTERtonex,"Fe-enterobactin transport via ton system (extracellular)",0
CSNt2pp,"Cytosine transport in via proton symport (periplasm)",0
CYSabcpp,"L-cysteine uptake via ABC system (periplasm)",0
SBTptspp,"D-sorbitol transport via PEP:Pyr PTS (periplasm)",0
PItex,"Phosphate transport via diffusion (extracellular to periplasm)",0
TREHpp,"Alpha,alpha-trehalase (periplasm)",0
CYTBDpp,"Cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm)",0
CYTDt2pp,"Cytidine transport in via proton symport (periplasm)",0
DADNt2pp,"Deoxyadenosine transport in via proton symport (periplasm)",0
DCYTt2pp,"Deoxycytidine transport in via proton symport (periplasm)",0
CYTBD2pp,"Cytochrome oxidase bd (menaquinol-8: 2 protons) (periplasm)",0
ACGAMK,"N-acetylglucosamine kinase",0
ACALDtpp,"Acetaldehyde reversible transport (periplasm)",0
ACt2rpp,"Acetate reversible transport via proton symport (periplasm)",0
DDGLCNt2rpp,"2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible (periplasm)",0
RMNtex,"L-rhamnose transport via diffusion (extracellular to periplasm)",0
EX_meoh_e,"Methanol exchange",0
EX_fe3dcit_e,"Fe(III)dicitrate exchange",0
EX_fe3hox_e,"Fe(III)hydroxamate exchange",0
EX_fecrm_e,"Ferrichrome exchange",0
EX_feenter_e,"Fe-enterobactin exchange",0
EX_feoxam_e,"Ferroxamine exchange",0
MALTTRtexi,"Maltotriose transport via diffusion (extracellular to periplasm) irreversible",0
MALTTTRtexi,"MaltotetraoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible",0
MALTPTtexi,"MaltopentaoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible",0
METS,"Methionine synthase",0
ASPO3,"L-aspartate oxidase",0
ASPO5,"L-aspartate oxidase",0
ASPO4,"L-aspartate oxidase",0
EX_3amp_e,"3'-AMP exchange",0
EX_3gmp_e,"3'-GMP exchange",0
EX_3ump_e,"3'-UMP exchange",0
ASPO6,"L-aspartate oxidase",0
EX_cu2_e,"Cu2+ exchange",0
LCTStex,"Lactose transport via diffusion (extracellular to periplasm)",0
LEUtex,"L-leucine transport via diffusion (extracellular to periplasm)",0
LYStex,"L-lysine transport via diffusion (extracellular to periplasm)",0
EX_glyc__R_e,"(R)-Glycerate exchange",0
EX_eca4colipa_e,"(enterobacterial common antigen)x4 core oligosaccharide lipid A exchange",0
GLYOX3,"Glyoxalase III",0
FDMO3,"FMNH2-dependent monooxygenase (ethanesulfonate)",0
LYXtex,"L-Lyxose transport via diffusion (extracellular to periplasm)",0
MANtex,"D-mannose transport via diffusion (extracellular to periplasm)",0
MAN6Ptex,"Mannose 6-phosphate transport via diffusion (extracellular to periplasm)",0
FDMO4,"FMNH2-dependent monooxygenase (butanesulfonate)",0
CYSabc2pp,"L-cysteine export via ABC system (cytoplasm to periplasm)",0
BUTSO3abcpp,"Butanesulfonate transport via ABC system (periplasm)",0
ETHSO3abcpp,"Ethanesulfonate transport via ABC system (periplasm)",0
MELIBtex,"Melibiose transport via diffusion (extracellular to periplasm)",0
DMSOtex,"Dimethyl sulfoxide transport via diffusion (extracellular to periplasm)",0
DURItex,"Deoxyuridine transport via diffusion (extracellular to periplasm)",0
EX_mal__D_e,"D-Malate exchange",0
FRUtex,"D-fructose transport via diffusion (extracellular to periplasm)",0
FUCtex,"L-fucose transport via diffusion (extracellular to periplasm)",0
EX_sel_e,"Selenate exchange",0
EX_hg2_e,"Hg2+ exchange",0
FUMtex,"Fumarate transport via diffusion (extracellular to periplasm)",0
ACACT5r,"Acetyl-CoA C-acyltransferase (decanoyl-CoA) (r)",0
PRASCSi,"Phosphoribosylaminoimidazolesuccinocarboxamide synthase",0
MALTATr,"Maltose O-acetyltransferase",0
DHBSH,"2,3-dihydroxybenzoylserine hydrolase",0
FE2tex,"Iron (II) transport via diffusion (extracellular to periplasm)",0
NMNtex,"NMN transport via diffusion (extracellular to periplasm)",0
ENTERES,"Enterochelin Esterase",0
NO2tex,"Nitrite transport via diffusion (extracellular to periplasm)",0
TRSARr,"Tartronate semialdehyde reductase",0
DHPS2,"Dihydropteroate synthase",0
FEOXAMUtex,"Ferroxamine (minus Fe3) secretion (to extracellular)",0
ARBTNtpp,"Aerobactin secretion (to periplasm)",0
MTHFC,"Methenyltetrahydrofolate cyclohydrolase",0
ARBTNtex,"Aerobactin secretion (to extracellular)",0
MTHFD,"Methylenetetrahydrofolate dehydrogenase (NADP)",0
LYXI,"Lyxose isomerase",0
CADVtpp,"Lysine/Cadaverine antiporter (periplasm)",0
QULNS,"Quinolinate synthase",0
23CAMPtex,"23cAMP transport via diffusion (extracellular to periplasm)",0
23CCMPtex,"23cCMP transport via diffusion (extracellular to periplasm)",0
23CUMPtex,"23cUMP transport via diffusion (extracellular to periplasm)",0
23CGMPtex,"23cGMP transport via diffusion (extracellular to periplasm)",0
3AMPtex,"3AMP transport via diffusion (extracellular to periplasm)",0
3CMPtex,"3CMP transport via diffusion (extracellular to periplasm)",0
LADGMDH,"L-alanyl-gamma-D-glutamyl-meso-diaminopimelate hydrolase",0
ALKP,"Alkaline phosphatase",0
GDPtex,"GDP transport via diffusion (extracellular to periplasm)",0
EX_cobalt2_e,"Co2+ exchange",0
ALAGLUE,"L-alanyl-gamma-glutamate epimerase",0
FEENTERtpp,"Enterochelin transport (secretion)",0
TMAtex,"Trimethylamine transport via diffusion (extracellular to periplasm)",0
EX_pheme_e,"Protoheme exchange",0
TMAOtex,"Trimethylamine N-oxide transport via diffusion (extracellular to periplasm)",0
TREtex,"Trehalose transport via diffusion (extracellular to periplasm)",0
L_LACD3,"L-Lactate dehydrogenase (menaquinone)",0
FEENTERtex,"Enterochelin transport (secretion periplasm)",0
FE3HOXUtpp,"Fe(III)hydroxamate unloaded secretion (extracellular)",0
FEOXAMUtpp,"Ferroxamine (minus Fe3) secretion (to periplasm)",0
FECRMUtpp,"Ferrichrome (minus Fe) secretion (to periplasm)",0
FE3HOXR2,"Fe(III)hydroxamate reductase",0
L_LACD2,"L-Lactate dehydrogenase (ubiquinone)",0
ACACT6r,"Acetyl-CoA C-acyltransferase (dodecanoyl-CoA) (r)",0
TRPtex,"L-tryptophan transport via diffusion (extracellular to periplasm)",0
PTRCt2pp,"Putrescine transport in via proton symport",0
PNTOtex,"Pantothenate transport via diffusion (extracellular to periplasm)",0
FDMO6,"FMNH2-dependent monooxygenase (sulfoacetate)",0
TSULtex,"Thiosulfate transport via diffusion (extracellular to periplasm)",0
TYRtex,"L-tyrosine transport via diffusion (extracellular to periplasm)",0
URAtex,"Uracil transport via diffusion (extracellular to periplasm)",0
UREAtex,"Urea transport via diffusion (extracellular to periplasm)",0
URItex,"Uridine transport via diffusion (extracellular to periplasm)",0
SULFACabcpp,"Sulfoacetate transport via ABC system (periplasm)",0
ETHSO3tex,"Ethanesulfonate transport via diffusion (extracellular to periplasm)",0
BUTSO3tex,"Butanesulfonate transport via diffusion (extracellular to periplasm)",0
LIPOtex,"Lipoate transport via diffusion (extracellular to periplasm)",0
CYANSTpp,"Cyanide sulfurtransferase (periplasmic)",0
VALtex,"L-valine transport via diffusion (extracellular to periplasm)",0
MCPST,"3-mercaptopyruvate sulfurtransferase",0
XYLtex,"D-xylose transport via diffusion (extracellular to periplasm)",0
PPPNtex,"3-phenylpropionate transport via diffusion (extracellular to periplasm)",0
FORtppi,"Formate transport via diffusion (cytoplasm to periplasm)",0
PHEMEabcpp,"Protoheme transport via ABC system (periplasm)",0
METSOX1abcpp,"L-methionine S-oxide transport via ABC system (periplasm)",0
PPTtex,"Phosphonate transport via diffusion (extracellular to periplasm)",0
GALBDtex,"Beta D-galactose transport via diffusion (extracellular to periplasm)",0
LIPAHT2ex,"Core oligosaccharide lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane)",0
DATPHs,"DATP amine hydrolysis (spontaneous)",0
GLCTR1,"Glucosyltransferase I (LPS core synthesis)",0
LIPAabcpp,"Lipid A transport via ABC system (periplasm)",0
